resultid,subjectid,age,gender,source,experiment,block,blockorder,requiredaccuracy,maxduration,startgain,potentialgain,finishgain,trial,repeat,order,coherence,angle,time,response,correctresponse,iscorrect,startcorrect,startduration,effortbefore,effortafter
1588,1033,25,Male,Not Set,study4ap,3,3,0,0,0,0,0,2,1,1,0.3,270,-1,-1,1,-1,0,0,,
1588,1033,25,Male,Not Set,study4ap,3,3,0,0,0,0,0,3,1,3,0.5,270,1004,1,1,1,0,4651.534999999974,,
1588,1033,25,Male,Not Set,study4ap,3,3,0,0,0,0,0,4,1,4,0.6,270,1016,2,1,0,1,5666.710999999981,,
1588,1033,25,Male,Not Set,study4ap,3,3,0,0,0,0,0,5,1,5,0.1,90,1094,1,2,0,1,6697.898000000016,,
1588,1033,25,Male,Not Set,study4ap,3,3,0,0,0,0,0,6,1,2,0.3,90,1643,1,2,0,0,3000.57600000003,,
1588,1033,25,Male,Not Set,study4ap,3,3,0,0,0,0,0,7,1,8,0.5,90,878,2,2,1,2,11798.967000000048,,
1588,1033,25,Male,Not Set,study4ap,3,3,0,0,0,0,0,8,1,6,0.6,90,997,2,2,1,1,7798.240000000078,,
1597,1035,19,Male,Not Set,study4ap,3,3,0,0,0,0,0,1,1,4,0.1,270,1011,1,1,1,3,5435.356000000851,,
1597,1035,19,Male,Not Set,study4ap,3,3,0,0,0,0,0,2,1,8,0.3,270,-1,-1,1,-1,6,8969.164000000987,,
1597,1035,19,Male,Not Set,study4ap,3,3,0,0,0,0,0,3,1,1,0.5,270,2984,1,1,1,0,0,,
1597,1035,19,Male,Not Set,study4ap,3,3,0,0,0,0,0,4,1,5,0.6,270,888,1,1,1,4,6452.54700000077,,
1597,1035,19,Male,Not Set,study4ap,3,3,0,0,0,0,0,5,1,7,0.1,90,936,1,2,0,6,8022.029000000643,,
1597,1035,19,Male,Not Set,study4ap,3,3,0,0,0,0,0,6,1,3,0.3,90,1174,2,2,1,2,4251.16400000023,,
1597,1035,19,Male,Not Set,study4ap,3,3,0,0,0,0,0,7,1,2,0.5,90,1256,2,2,1,1,2986.3900000000212,,
1597,1035,19,Male,Not Set,study4ap,3,3,0,0,0,0,0,8,1,6,0.6,90,657,2,2,1,5,7353.901000000384,,
1598,1036,20,female,Not Set,study4ap,3,3,0,0,0,0,0,1,1,5,0.1,270,966,2,1,0,4,3164.8700000014287,,
1598,1036,20,female,Not Set,study4ap,3,3,0,0,0,0,0,2,1,2,0.3,270,1304,1,1,1,1,717.1170000001439,,
1598,1036,20,female,Not Set,study4ap,3,3,0,0,0,0,0,3,1,3,0.5,270,664,1,1,1,2,2035.0810000009005,,
1598,1036,20,female,Not Set,study4ap,3,3,0,0,0,0,0,4,1,4,0.6,270,463,1,1,1,3,2702.179000000797,,
1598,1036,20,female,Not Set,study4ap,3,3,0,0,0,0,0,5,1,8,0.1,90,1921,1,2,0,6,5451.359000000593,,
1598,1036,20,female,Not Set,study4ap,3,3,0,0,0,0,0,6,1,1,0.3,90,705,2,2,1,0,0,,
1598,1036,20,female,Not Set,study4ap,3,3,0,0,0,0,0,7,1,6,0.5,90,604,2,2,1,4,4133.565000000999,,
1598,1036,20,female,Not Set,study4ap,3,3,0,0,0,0,0,8,1,7,0.6,90,688,2,2,1,5,4751.288000001296,,
1607,1043,18,Female,Not Set,study4ap,3,3,0,0,0,0,0,1,1,1,0.1,270,1441,2,1,0,0,0,,
1607,1043,18,Female,Not Set,study4ap,3,3,0,0,0,0,0,2,1,8,0.3,270,-1,-1,1,-1,4,11500.125999999786,,
1607,1043,18,Female,Not Set,study4ap,3,3,0,0,0,0,0,3,1,6,0.5,270,1571,1,1,1,2,9033.229999999763,,
1607,1043,18,Female,Not Set,study4ap,3,3,0,0,0,0,0,4,1,7,0.6,270,874,1,1,1,3,10616.534999999756,,
