resultid,subjectid,age,gender,source,experiment,block,blockorder,requiredaccuracy,maxduration,startgain,potentialgain,finishgain,trial,repeat,order,brightness,time,response,correctresponse,iscorrect,startcorrect,startduration
11040,1134,30,male,mturk,study6bp,3,3,0,0,0,0,0,5,1,8,0.52,612,2,1,0,6,4230.276998132467
11040,1134,30,male,mturk,study6bp,3,3,0,0,0,0,0,6,1,7,0.54,658,1,1,1,5,3564.0359986573458
11040,1134,30,male,mturk,study6bp,3,3,0,0,0,0,0,7,1,3,0.56,546,2,1,0,2,1199.1449985653162
11040,1134,30,male,mturk,study6bp,3,3,0,0,0,0,0,8,1,2,0.68,506,1,1,1,1,682.9269994050264
11049,1135,32,female,mturk,study6bp,3,3,0,0,0,0,0,1,1,3,0.42,580,1,2,0,2,1282.675999973435
11049,1135,32,female,mturk,study6bp,3,3,0,0,0,0,0,2,1,4,0.44,742,1,2,0,2,1865.6620000256225
11049,1135,32,female,mturk,study6bp,3,3,0,0,0,0,0,3,1,6,0.46,919,2,2,1,3,3448.43500002753
11049,1135,32,female,mturk,study6bp,3,3,0,0,0,0,0,4,1,7,0.48,743,2,2,1,4,4381.261000002269
11049,1135,32,female,mturk,study6bp,3,3,0,0,0,0,0,5,1,1,0.52,741,1,1,1,0,0
11049,1135,32,female,mturk,study6bp,3,3,0,0,0,0,0,6,1,2,0.54,517,1,1,1,1,749.5769999804907
11049,1135,32,female,mturk,study6bp,3,3,0,0,0,0,0,7,1,8,0.56,709,1,1,1,5,5130.98399998853
11049,1135,32,female,mturk,study6bp,3,3,0,0,0,0,0,8,1,5,0.68,822,1,1,1,2,2615.2790000196546
11060,1136,41,female,mturk,study6bp,3,3,0,0,0,0,0,1,1,2,0.42,600,2,2,1,1,699.9780000041937
11060,1136,41,female,mturk,study6bp,3,3,0,0,0,0,0,2,1,4,0.44,496,2,2,1,3,1849.6670000167796
11060,1136,41,female,mturk,study6bp,3,3,0,0,0,0,0,3,1,8,0.46,720,2,2,1,5,3932.6600000058534
